#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'2870','54534','167','26','3231378713316714496',165.46735,28.158387,31.31,-5.3e-05,1e-05,'0','STAR','F9'
'2870','54534','168','26','3231378988194621440',165.32307,28.238383,21.22,-0.000157,1.4e-05,'0','STAR','F9'
'2870','54534','169','26','3231379263072528384',165.28456,28.02758,34.36,-0.000355,1.4e-05,'0','STAR','F5'
'2870','54534','171','26','3231379812828342272',165.55114,28.508359,16.49,-1e-06,2.3e-05,'0','STAR','F5'
'2870','54534','174','26','3231380637462063104',165.40014,28.235707,39.95,-0.000108,1e-05,'0','STAR','F9'
'2870','54534','175','26','3231380912339970048',165.48822,27.981719,54.09,-0.000323,9e-06,'0','STAR','F9'
'2870','54534','176','26','3231381187217876992',165.50885,28.333906,46.62,0.000288,9e-06,'0','STAR','F9'
'2870','54534','177','26','3231381462095783936',165.41567,28.416202,9.43,0.00049,8.8e-05,'0','STAR','A0'
'2870','54534','179','26','3231382011851597824',165.38126,27.998432,38.44,-5.6e-05,1.3e-05,'0','STAR','G0'
'2870','54534','180','26','3231382286729504768',165.5999,28.026906,11.83,0.00018,3.3e-05,'0','STAR','G2'
'2870','54534','182','26','3231382836485318656',165.20334,27.986241,32.09,0.000129,1e-05,'0','STAR','K3'
'2870','54534','183','26','3231383111363225600',165.06147,28.476446,23.44,0.00026,1.4e-05,'0','STAR','G2'
'2870','54534','184','26','3231383386241132544',165.0237,28.165024,28.98,-0.000269,1.2e-05,'0','STAR','F9'
'2870','54534','186','26','3231383935996946432',165.05969,28.440199,6.73,0.000264,5.8e-05,'0','STAR','F9'
'2870','54534','187','26','3231384210874853376',165.09414,28.125441,23.46,0.000546,1.5e-05,'0','STAR','A0'
'2870','54534','188','26','3231384485752760320',165.05214,28.343101,28.87,0.000125,1.1e-05,'0','STAR','F9'
'2870','54534','189','26','3231384760630667264',165.20846,28.107501,22.55,-0.000249,2e-05,'0','STAR','G2'
'2870','54534','190','26','3231385035508574208',165.26567,28.062148,24.02,-4.8e-05,1.9e-05,'0','STAR','G0'
'2870','54534','193','26','3231385860142295040',165.25491,28.332927,31.43,-0.000211,1e-05,'0','STAR','F9'
'2870','54534','194','26','3231386135020201984',165.17489,28.298419,19.43,-0.000571,1.8e-05,'0','STAR','F9'
'2870','54534','195','26','3231386409898108928',165.0139,28.529421,31.3,0.000184,1.1e-05,'0','STAR','F9'
'2870','54534','196','26','3231386684776015872',165.24631,28.299322,33.15,4.6e-05,1e-05,'0','STAR','K5'
'2870','54534','197','26','3231386959653922816',165.22697,28.466486,13.16,-0.0,1.3e-05,'0','STAR','M2'
'2870','54534','199','26','3231387509409736704',164.99945,28.320833,57.95,-0.000196,8e-06,'0','STAR','F9'
'2870','54534','200','26','3231387784287643648',165.20632,28.401552,52.42,0.000221,7e-06,'0','STAR','K1'
'2870','54534','221','26','3231393556723689472',164.90591,28.315393,56.54,-0.00047,9e-06,'0','STAR','F9'
'2870','54534','222','26','3231393831601596416',164.72854,28.029192,54.02,0.000103,1.1e-05,'0','STAR','G0'
'2870','54534','224','26','3231394381357410304',164.78331,28.440314,11.28,0.000734,6.6e-05,'0','STAR','A0'
'2870','54534','225','26','3231394656235317248',164.93295,28.318266,59.76,-0.000105,8e-06,'0','STAR','K3'
'2870','54534','228','26','3231395480869038080',164.68122,28.07378,31.62,-0.000386,1.8e-05,'0','STAR','F5'
'2870','54534','229','26','3231395755746945024',164.70004,28.33601,27.44,-0.000212,1.5e-05,'0','STAR','F5'
'2870','54534','231','26','3231396305502758912',164.89533,28.004803,19.56,-0.000184,3.4e-05,'0','STAR','A0'
'2870','54534','232','26','3231396580380665856',164.8392,28.484418,8.49,7.9e-05,6.7e-05,'0','STAR','A0'
'2870','54534','235','26','3231397405014386688',164.84582,28.413511,16.34,-0.000515,2.4e-05,'0','STAR','F5'
'2870','54534','238','26','3231398229648107520',164.93123,28.491798,18.71,0.000511,3.6e-05,'0','STAR','A0'
'2870','54534','239','26','3231398504526014464',164.89102,28.222531,60.43,-0.000317,9e-06,'0','STAR','F5'
'2870','54534','261','26','3231404551839967232',164.55419,28.090032,56.42,1.8e-05,8e-06,'0','STAR','F9'
'2870','54534','263','26','3231405101595781120',164.52336,28.064428,13.3,-0.000648,4e-05,'0','STAR','A0'
'2870','54534','264','26','3231405376473688064',164.53019,28.241833,47.97,8.1e-05,8e-06,'0','STAR','K1'
'2870','54534','265','26','3231405651351595008',164.28085,28.481524,24.65,0.000189,1.3e-05,'0','STAR','K5'
'2870','54534','266','26','3231405926229501952',164.49642,28.299421,6.17,-9e-06,6.5e-05,'0','STAR','F5'
'2870','54534','267','26','3231406201107408896',164.31475,28.44319,23.82,-0.000567,1.7e-05,'0','STAR','F5'
'2870','54534','268','26','3231406475985315840',164.52122,28.18759,57.75,0.000848,9e-06,'0','STAR','F9'
'2870','54534','269','26','3231406750863222784',164.52457,28.343093,43.85,4.4e-05,1.1e-05,'0','STAR','F2'
'2870','54534','270','26','3231407025741129728',164.32397,28.377078,7.52,-0.000223,3.3e-05,'0','STAR','F9'
'2870','54534','271','26','3231407300619036672',164.31815,27.988829,26.04,4.9e-05,1.3e-05,'0','STAR','K7'
'2870','54534','272','26','3231407575496943616',164.59498,28.135662,9.82,0.000158,6.6e-05,'0','STAR','A0'
'2870','54534','273','26','3231407850374850560',164.40847,28.510804,20.8,-0.000465,3.1e-05,'0','STAR','A0'
'2870','54534','275','26','3231408400130664448',164.43831,28.501473,24.03,-2e-06,1.1e-05,'0','STAR','F9'
'2870','54534','276','26','3231408675008571392',164.3871,28.256923,56.03,-0.000131,1e-05,'0','STAR','F2'
'2870','54534','278','26','3231409224764385280',164.27378,28.437508,12.99,-0.000369,2.6e-05,'0','STAR','F5'
'2870','54534','279','26','3231409499642292224',164.34465,28.292145,34.53,0.000771,1.8e-05,'0','STAR','A0'
'2870','54534','280','26','3231409774520199168',164.60072,28.372092,58.95,0.000135,9e-06,'0','STAR','F9'
'2870','54534','304','26','3231416371589965824',164.10243,28.486152,26.24,0.000242,1.3e-05,'0','STAR','F2'
'2870','54534','305','26','3231416646467872768',164.28157,28.002331,9.39,9.1e-05,1.6e-05,'0','STAR','M3'
'2870','54534','307','26','3231417196223686656',164.12858,28.489524,13.49,-0.000104,1.7e-05,'0','STAR','F9'
'2870','54534','308','26','3231417471101593600',164.19121,28.001957,31.03,0.00011,1.2e-05,'0','STAR','F9'
'2870','54534','309','26','3231417745979500544',164.21982,28.150238,11.18,0.000624,3.1e-05,'0','STAR','G0'
'2870','54534','311','26','3231418295735314432',164.1691,28.297709,55.22,7.1e-05,7e-06,'0','STAR','K3'
'2870','54534','312','26','3231418570613221376',164.10631,28.142794,38.91,-4.4e-05,8e-06,'0','STAR','K7'
'2870','54534','313','26','3231418845491128320',164.20333,28.246371,7.79,0.000752,4.6e-05,'0','STAR','F5'
'2870','54534','315','26','3231419395246942208',164.26536,28.510786,23.39,-0.000549,1.5e-05,'0','STAR','F5'
'2870','54534','319','26','3231420494758569984',164.13373,28.454649,22.08,-0.000483,1.5e-05,'0','STAR','G2'
'2870','54534','320','26','3231420769636476928',164.13414,28.37682,16.58,0.000488,4.1e-05,'0','STAR','F5'
'2870','54534','321','26','3231421044514383872',164.61656,29.539728,30.88,5.3e-05,2.3e-05,'0','STAR','WD'
'2870','54534','322','26','3231421319392290816',164.52763,29.562386,31.04,2.1e-05,1.4e-05,'0','STAR','F9'
'2870','54534','323','26','3231421594270197760',164.5242,29.143678,18.37,-0.000359,2.2e-05,'0','STAR','F5'
'2870','54534','324','26','3231421869148104704',164.29491,29.376154,42.47,-5.3e-05,1e-05,'0','STAR','F9'
'2870','54534','325','26','3231422144026011648',164.55355,29.549684,33.21,-0.000441,1.3e-05,'0','STAR','F5'
'2870','54534','326','26','3231422418903918592',164.44829,29.293173,7.15,-0.000504,6.8e-05,'0','STAR','A0'
'2870','54534','327','26','3231422693781825536',164.49415,29.5094,12.43,0.000482,4.1e-05,'0','STAR','F5'
'2870','54534','328','26','3231422968659732480',164.39975,29.46178,49.79,0.000142,7e-06,'0','STAR','K1'
'2870','54534','329','26','3231423243537639424',164.35645,29.313388,8.55,-0.000138,7.6e-05,'0','STAR','A0'
'2870','54534','330','26','3231423518415546368',164.59152,29.458058,18.63,4.5e-05,2.6e-05,'0','STAR','F5'
'2870','54534','331','26','3231423793293453312',164.47765,29.27266,30.25,0.000122,1e-05,'0','STAR','F9'
'2870','54534','332','26','3231424068171360256',164.16787,29.337391,7.72,-0.000186,5.2e-05,'0','STAR','F5'
'2870','54534','333','26','3231424343049267200',164.33232,29.359955,55.39,-0.000246,8e-06,'0','STAR','A0'
'2870','54534','334','26','3231424617927174144',164.54271,29.320284,27.02,-0.000403,1.2e-05,'0','STAR','A0'
'2870','54534','335','26','3231424892805081088',164.45199,29.170291,34.3,0.000245,1.2e-05,'0','STAR','F5'
'2870','54534','336','26','3231425167682988032',164.32552,29.203872,22.89,0.000407,2e-05,'0','STAR','F5'
'2870','54534','337','26','3231425442560894976',164.25539,29.144683,63.34,-7.7e-05,9e-06,'0','STAR','G2'
'2870','54534','339','26','3231425992316708864',164.26555,29.300581,23.68,0.000195,9e-06,'0','STAR','K1'
'2870','54534','342','26','3231426816950429696',164.2133,28.623317,54.97,-0.000175,9e-06,'0','STAR','F9'
'2870','54534','343','26','3231427091828336640',164.24141,28.973121,33.01,-2.2e-05,8e-06,'0','STAR','F9'
'2870','54534','346','26','3231427916462057472',164.15203,29.006216,22.22,-0.000399,1.6e-05,'0','STAR','F5'
'2870','54534','347','26','3231428191339964416',164.23247,28.734567,52.8,8e-06,7e-06,'0','STAR','K1'
'2870','54534','348','26','3231428466217871360',164.1761,28.760742,18.54,0.000466,1.4e-05,'0','STAR','M1'
'2870','54534','352','26','3231429565729499136',164.1635,28.68277,27.03,2.1e-05,1.3e-05,'0','STAR','F2'
'2870','54534','356','26','3231430665241126912',164.16439,28.537397,45.31,-0.000663,1e-05,'0','STAR','F9'
'2870','54534','361','26','3231432039630661632',164.97914,29.481555,51.83,0.00036,1e-05,'0','STAR','F9'
'2870','54534','363','26','3231432589386475520',164.84511,29.562954,9.11,0.000897,7.8e-05,'0','STAR','A0'
'2870','54534','364','26','3231432864264382464',164.8351,29.420608,62.2,-0.000276,8e-06,'0','STAR','F5'
'2870','54534','365','26','3231433139142289408',164.83238,29.596467,23.87,0.000239,1.3e-05,'0','STAR','F9'
'2870','54534','366','26','3231433414020196352',164.77455,29.602629,62.17,-0.000572,9e-06,'0','STAR','F9'
'2870','54534','367','26','3231433688898103296',164.8043,29.243086,24.9,0.000304,1.2e-05,'0','STAR','F9'
'2870','54534','368','26','3231433963776010240',164.88254,29.594282,12.18,0.000335,3.4e-05,'0','STAR','F5'
'2870','54534','370','26','3231434513531824128',164.77872,29.586547,9.62,-0.000185,6.4e-05,'0','STAR','WD'
'2870','54534','372','26','3231435063287638016',164.81678,29.216122,19.23,0.00041,2.7e-05,'0','STAR','F5'
'2870','54534','373','26','3231435338165544960',164.70935,29.331565,27.68,0.000168,1.3e-05,'0','STAR','F9'
'2870','54534','374','26','3231435613043451904',164.92345,29.269761,8.52,0.000342,8.3e-05,'0','STAR','A0'
'2870','54534','375','26','3231435887921358848',164.81103,29.473764,19.16,-0.000444,1.4e-05,'0','STAR','F9'
'2870','54534','376','26','3231436162799265792',164.94836,29.698015,22.85,-0.000285,1.1e-05,'0','STAR','K7'
'2870','54534','377','26','3231436437677172736',164.69008,29.287214,17.43,9.2e-05,2.5e-05,'0','STAR','F2'
'2870','54534','378','26','3231436712555079680',164.97814,29.139379,21.69,8.9e-05,3.2e-05,'0','STAR','A0'
'2870','54534','379','26','3231436987432986624',164.75102,29.422152,23.28,-3.3e-05,2.8e-05,'0','STAR','A0'
'2870','54534','380','26','3231437262310893568',164.96324,29.515245,11.14,0.000363,1.3e-05,'0','STAR','M2'
'2870','54534','381','26','3231437537188800512',164.41688,28.787067,27.62,1.6e-05,1e-05,'0','STAR','K1'
'2870','54534','383','26','3231438086944614400',164.48095,28.676995,10.37,-0.000399,4e-05,'0','STAR','F9'
'2870','54534','385','26','3231438636700428288',164.46077,28.966885,18.54,-0.000313,2.7e-05,'0','STAR','F5'
'2870','54534','386','26','3231438911578335232',164.38241,29.09604,53.17,4.1e-05,7e-06,'0','STAR','K1'
'2870','54534','387','26','3231439186456242176',164.3403,29.12328,64.94,0.000102,9e-06,'0','STAR','F5'
'2870','54534','388','26','3231439461334149120',164.29982,29.083023,8.14,0.000528,9.4e-05,'0','STAR','A0'
'2870','54534','389','26','3231439736212056064',164.46166,29.015112,20.39,0.000663,1.3e-05,'0','STAR','K7'
'2870','54534','390','26','3231440011089963008',164.35438,28.995263,14.45,0.000608,3.9e-05,'0','STAR','G2'
'2870','54534','391','26','3231440285967869952',164.39407,29.003652,35.53,6.8e-05,1.1e-05,'0','STAR','F9'
'2870','54534','392','26','3231440560845776896',164.33095,28.584727,8.86,-0.000354,8.3e-05,'0','STAR','F5'
'2870','54534','393','26','3231440835723683840',164.32861,28.530543,10.46,0.000675,7.3e-05,'0','STAR','A0'
'2870','54534','394','26','3231441110601590784',164.38558,28.702665,26.76,-0.000111,1.6e-05,'0','STAR','F9'
'2870','54534','395','26','3231441385479497728',164.37027,28.610244,38.71,-0.000144,1.5e-05,'0','STAR','A0'
'2870','54534','396','26','3231441660357404672',164.31112,29.057613,40.52,0.000163,1.1e-05,'0','STAR','F5'
'2870','54534','397','26','3231441935235311616',164.25844,28.761545,10.99,0.000476,2.8e-05,'0','STAR','F9'
'2870','54534','400','26','3231442759869032448',164.42898,28.701577,22.85,-0.000106,3.1e-05,'0','STAR','WD'
'2870','54534','401','26','3231443034746939392',165.24252,29.483182,7.74,9.7e-05,4.5e-05,'0','STAR','F9'
'2870','54534','402','26','3231443309624846336',164.98072,29.562202,48.66,-0.00045,1.1e-05,'0','STAR','F9'
'2870','54534','404','26','3231443859380660224',165.04114,29.665018,31.69,-1e-06,2e-05,'0','STAR','WD'
'2870','54534','405','26','3231444134258567168',165.04678,29.598729,28.4,-7.7e-05,1.2e-05,'0','STAR','F9'
'2870','54534','406','26','3231444409136474112',165.28911,29.524292,37.59,-4.5e-05,1.2e-05,'0','STAR','F5'
'2870','54534','407','26','3231444684014381056',165.09662,29.132193,47.15,-0.000111,8e-06,'0','STAR','K3'
'2870','54534','408','26','3231444958892288000',165.11711,29.672052,8.66,-9.1e-05,0.000106,'0','STAR','A0'
'2870','54534','409','26','3231445233770194944',165.09762,29.308692,8.73,-0.000284,8e-05,'0','STAR','A0'
'2870','54534','410','26','3231445508648101888',165.19299,29.575859,36.49,-0.000264,1.1e-05,'0','STAR','F9'
'2870','54534','411','26','3231445783526008832',165.30507,29.37593,6.51,-0.000182,9.3e-05,'0','STAR','F5'
'2870','54534','412','26','3231446058403915776',165.02952,29.201617,18.28,0.000321,4e-05,'0','STAR','A0'
'2870','54534','414','26','3231446608159729664',165.15474,29.454362,17.97,0.000471,1.5e-05,'0','STAR','F9'
'2870','54534','415','26','3231446883037636608',165.00299,29.381754,32.33,7e-06,8e-06,'0','STAR','F9'
'2870','54534','416','26','3231447157915543552',164.99339,29.423555,26.7,-0.000976,1.1e-05,'0','STAR','K5'
'2870','54534','417','26','3231447432793450496',165.21819,29.552665,21.32,-4.5e-05,1.1e-05,'0','STAR','F9'
'2870','54534','418','26','3231447707671357440',165.3159,29.212406,24.79,0.000166,3.2e-05,'0','STAR','A0'
'2870','54534','419','26','3231447982549264384',165.207,29.468834,35.28,-0.000233,1e-05,'0','STAR','F9'
'2870','54534','420','26','3231448257427171328',165.10248,29.508762,24.98,-0.000701,3.2e-05,'0','STAR','A0'
'2870','54534','421','26','3231448532305078272',164.61911,28.864743,31.34,0.000173,1.5e-05,'0','STAR','G2'
'2870','54534','422','26','3231448807182985216',164.80353,28.844833,40.45,5.2e-05,8e-06,'0','STAR','F9'
'2870','54534','423','26','3231449082060892160',164.69394,28.786454,7.62,2.5e-05,6.7e-05,'0','STAR','F5'
'2870','54534','424','26','3231449356938799104',164.78646,28.781405,49.18,-0.000202,8e-06,'0','STAR','F9'
'2870','54534','425','26','3231449631816706048',164.77209,28.705246,8.42,-5.5e-05,6.1e-05,'0','STAR','F5'
'2870','54534','426','26','3231449906694612992',164.78623,29.045285,27.97,0.000286,1.1e-05,'0','STAR','F9'
'2870','54534','427','26','3231450181572519936',164.75177,29.09828,52.06,-0.00032,9e-06,'0','STAR','K1'
'2870','54534','429','26','3231450731328333824',164.57359,28.769263,12.79,0.000366,0.000128,'0','STAR','CarbonWD'
'2870','54534','430','26','3231451006206240768',164.72967,29.045853,33.3,4.7e-05,1e-05,'0','STAR','F9'
'2870','54534','431','26','3231451281084147712',164.56655,28.622086,43.95,-5.1e-05,8e-06,'0','STAR','K1'
'2870','54534','432','26','3231451555962054656',164.55754,28.670015,62.64,-0.000169,9e-06,'0','STAR','F9'
'2870','54534','433','26','3231451830839961600',164.58997,28.628381,43.35,-0.000256,1.1e-05,'0','STAR','G2'
'2870','54534','434','26','3231452105717868544',164.61867,28.726094,16.45,-2.3e-05,4.2e-05,'0','STAR','A0'
'2870','54534','435','26','3231452380595775488',164.72063,28.712315,26.88,-0.000454,2.5e-05,'0','STAR','A0'
'2870','54534','436','26','3231452655473682432',164.81853,28.584793,12.0,-7.2e-05,1.4e-05,'0','STAR','M2'
'2870','54534','437','26','3231452930351589376',164.58842,29.064361,37.5,0.000206,9e-06,'0','STAR','F9'
'2870','54534','438','26','3231453205229496320',164.59473,28.671265,9.99,-0.000242,6.9e-05,'0','STAR','WD'
'2870','54534','439','26','3231453480107403264',164.54711,28.895664,7.43,-0.00017,4.5e-05,'0','STAR','F9'
'2870','54534','440','26','3231453754985310208',164.73263,28.65196,6.91,0.000219,0.000119,'0','STAR','WD'
'2870','54534','441','26','3231454029863217152',165.67636,29.722418,20.34,0.000209,2.5e-05,'0','STAR','A0'
'2870','54534','443','26','3231454579619031040',165.56903,29.685911,13.13,0.00014,5.2e-05,'0','STAR','A0'
'2870','54534','445','26','3231455129374844928',165.50431,29.612331,8.21,-0.000458,4e-05,'0','STAR','A0'
'2870','54534','446','26','3231455404252751872',165.66336,29.610708,33.88,6.5e-05,1e-05,'0','STAR','F9'
'2870','54534','447','26','3231455679130658816',165.59775,29.788592,16.96,-0.000113,3.7e-05,'0','STAR','G2'
'2870','54534','448','26','3231455954008565760',165.55924,29.505065,27.99,0.000144,1e-05,'0','STAR','K1'
'2870','54534','449','26','3231456228886472704',165.56767,29.345236,7.79,-0.000487,3.5e-05,'0','STAR','F5'
'2870','54534','450','26','3231456503764379648',165.52559,29.817333,14.82,-0.000111,1.7e-05,'0','STAR','F9'
'2870','54534','451','26','3231456778642286592',165.66148,29.514267,8.36,0.000419,4.4e-05,'0','STAR','F9'
'2870','54534','452','26','3231457053520193536',165.5027,29.26356,29.59,4e-06,8e-06,'0','STAR','K5'
'2870','54534','453','26','3231457328398100480',165.38711,29.622974,9.62,-0.00052,3.3e-05,'0','STAR','G2'
'2870','54534','455','26','3231457878153914368',165.48297,29.317246,31.35,-0.000294,1.3e-05,'0','STAR','F5'
'2870','54534','456','26','3231458153031821312',165.46083,29.280549,11.34,-0.000105,2.8e-05,'0','STAR','F9'
'2870','54534','458','26','3231458702787635200',165.41146,29.587495,18.37,0.000816,2.1e-05,'0','STAR','F9'
'2870','54534','460','26','3231459252543449088',165.39372,29.2663,24.54,0.000227,1.2e-05,'0','STAR','F9'
'2870','54534','461','26','3231459527421356032',165.06536,29.046417,50.21,4e-06,7e-06,'0','STAR','K1'
'2870','54534','462','26','3231459802299262976',165.08675,29.083943,10.44,-0.000243,5.8e-05,'0','STAR','A0'
'2870','54534','463','26','3231460077177169920',164.95155,28.885425,15.11,9e-06,1.7e-05,'0','STAR','F9'
'2870','54534','464','26','3231460352055076864',164.84892,29.029847,29.54,-7.7e-05,1.1e-05,'0','STAR','F9'
'2870','54534','465','26','3231460626932983808',165.00169,29.111175,12.75,0.00017,1.4e-05,'0','STAR','M3'
'2870','54534','466','26','3231460901810890752',165.06979,28.651309,22.99,-0.000452,1.7e-05,'0','STAR','G2'
'2870','54534','467','26','3231461176688797696',165.12192,28.891574,11.18,-0.000603,7e-05,'0','STAR','A0'
'2870','54534','468','26','3231461451566704640',165.03309,28.758008,26.8,-0.000302,1.4e-05,'0','STAR','F9'
'2870','54534','469','26','3231461726444611584',164.89604,28.931697,12.38,0.000117,2.8e-05,'0','STAR','F9'
'2870','54534','470','26','3231462001322518528',165.11224,29.045629,20.31,6.3e-05,3.2e-05,'0','STAR','WD'
'2870','54534','471','26','3231462276200425472',164.99128,28.814936,27.19,-0.000307,1.7e-05,'0','STAR','F5'
'2870','54534','472','26','3231462551078332416',164.89356,28.729802,50.52,-0.000242,8e-06,'0','STAR','F9'
'2870','54534','473','26','3231462825956239360',165.08706,28.804136,17.51,0.000615,1.8e-05,'0','STAR','F9'
'2870','54534','474','26','3231463100834146304',164.87595,28.716252,7.59,-0.000265,4.7e-05,'0','STAR','F9'
'2870','54534','475','26','3231463375712053248',164.8847,28.651445,17.75,-0.000242,3.9e-05,'0','STAR','A0'
'2870','54534','476','26','3231463650589960192',165.05119,28.767701,20.54,0.000141,1.3e-05,'0','STAR','F9'
'2870','54534','477','26','3231463925467867136',165.11754,28.930273,10.19,0.000466,3.7e-05,'0','STAR','F5'
'2870','54534','478','26','3231464200345774080',164.99171,29.035528,6.98,0.000216,0.000107,'0','STAR','A0'
'2870','54534','479','26','3231464475223681024',165.12277,28.957892,34.13,-0.000172,8e-06,'0','STAR','M0'
'2870','54534','481','26','3231465024979494912',165.39297,28.889065,43.46,-0.000293,1.1e-05,'0','STAR','G2'
'2870','54534','482','26','3231465299857401856',165.32271,28.788716,42.11,-0.000246,8e-06,'0','STAR','K1'
'2870','54534','483','26','3231465574735308800',165.36668,29.077378,54.43,0.000242,9e-06,'0','STAR','F9'
'2870','54534','484','26','3231465849613215744',165.42051,29.035191,16.59,8e-06,1.8e-05,'0','STAR','G2'
'2870','54534','485','26','3231466124491122688',165.129,28.550924,59.66,-0.000232,9e-06,'0','STAR','F9'
'2870','54534','486','26','3231466399369029632',165.36713,28.668102,42.33,4.6e-05,8e-06,'0','STAR','F9'
'2870','54534','487','26','3231466674246936576',165.38905,28.587194,33.38,-1.3e-05,1.7e-05,'0','STAR','A0'
'2870','54534','488','26','3231466949124843520',165.45153,29.027781,13.17,0.000408,3.2e-05,'0','STAR','F5'
'2870','54534','490','26','3231467498880657408',165.42133,28.841793,7.57,-0.000355,4.5e-05,'0','STAR','F5'
'2870','54534','491','26','3231467773758564352',165.20065,29.07146,41.67,-5.1e-05,8e-06,'0','STAR','K1'
'2870','54534','492','26','3231468048636471296',165.40509,29.10709,22.17,0.000308,1.3e-05,'0','STAR','F9'
'2870','54534','493','26','3231468323514378240',165.20664,29.10343,46.06,9.4e-05,9e-06,'0','STAR','F9'
'2870','54534','495','26','3231468873270192128',165.17414,28.920789,15.86,-0.000345,3.4e-05,'0','STAR','A0'
'2870','54534','496','26','3231469148148099072',165.14684,28.602639,36.52,0.001272,1.3e-05,'0','STAR','F5'
'2870','54534','498','26','3231469697903912960',165.22805,28.662606,21.62,-0.000688,2.2e-05,'0','STAR','A0'
'2870','54534','499','26','3231469972781819904',165.25084,28.65257,49.22,0.000386,1e-05,'0','STAR','F9'
'2870','54534','500','26','3231470247659726848',165.42693,28.545683,8.6,-0.00012,3.1e-05,'0','STAR','F9'
'2870','54534','501','26','3231470522537633792',165.74874,28.615458,37.97,-5.6e-05,8e-06,'0','STAR','K1'
'2870','54534','502','26','3231470797415540736',165.49451,28.717082,60.24,-0.000119,1e-05,'0','STAR','F5'
'2870','54534','503','26','3231471072293447680',165.61972,28.696565,7.77,-0.000237,3.2e-05,'0','STAR','F9'
'2870','54534','504','26','3231471347171354624',165.79843,29.118341,22.37,-0.000512,2.5e-05,'0','STAR','F5'
'2870','54534','505','26','3231471622049261568',165.64631,28.827857,48.71,-0.000413,1.1e-05,'0','STAR','G2'
'2870','54534','506','26','3231471896927168512',165.54851,28.861527,18.84,-0.000266,3.4e-05,'0','STAR','A0'
'2870','54534','507','26','3231472171805075456',165.68635,28.784937,35.55,-0.000198,9e-06,'0','STAR','F9'
'2870','54534','508','26','3231472446682982400',165.48391,28.811651,32.19,6.5e-05,9e-06,'0','STAR','K3'
'2870','54534','509','26','3231472721560889344',165.68722,28.647245,23.88,-4.6e-05,1.2e-05,'0','STAR','F9'
'2870','54534','510','26','3231472996438796288',165.89621,29.075519,9.7,-9.4e-05,0.000104,'0','STAR','A0'
'2870','54534','511','26','3231473271316703232',165.61301,28.884869,21.52,-0.000126,1.5e-05,'0','STAR','F9'
'2870','54534','512','26','3231473546194610176',165.70817,29.036267,49.19,7.2e-05,8e-06,'0','STAR','F9'
'2870','54534','514','26','3231474095950424064',165.73519,28.953223,45.89,-0.000434,1e-05,'0','STAR','G2'
'2870','54534','515','26','3231474370828331008',165.88708,29.050556,38.06,-2.4e-05,9e-06,'0','STAR','M0'
'2870','54534','516','26','3231474645706237952',165.85292,28.923758,62.55,-0.000153,8e-06,'0','STAR','F9'
'2870','54534','517','26','3231474920584144896',165.74332,29.05268,9.89,0.000439,5.5e-05,'0','STAR','F5'
'2870','54534','518','26','3231475195462051840',165.7969,29.010324,18.0,-0.000236,2.6e-05,'0','STAR','F5'
'2870','54534','520','26','3231475745217865728',165.75632,28.846563,16.89,6.6e-05,4.3e-05,'0','STAR','A0'
'2870','54534','521','26','3231476020095772672',165.75548,29.589722,26.93,0.000288,1.7e-05,'0','STAR','F5'
'2870','54534','522','26','3231476294973679616',165.91279,29.541743,25.99,0.000508,1.4e-05,'0','STAR','F9'
'2870','54534','523','26','3231476569851586560',165.98285,29.42519,34.31,-4e-06,1.3e-05,'0','STAR','F5'
'2870','54534','524','26','3231476844729493504',166.00945,29.262476,47.25,9.9e-05,8e-06,'0','STAR','F9'
'2870','54534','526','26','3231477394485307392',165.90128,29.237153,53.92,-0.000581,1.2e-05,'0','STAR','F9'
'2870','54534','528','26','3231477944241121280',165.75159,29.539783,15.53,-7.6e-05,1.6e-05,'0','STAR','F9'
'2870','54534','529','26','3231478219119028224',165.98389,29.679538,49.57,-0.000274,9e-06,'0','STAR','F9'
'2870','54534','530','26','3231478493996935168',165.8088,29.527413,9.2,-8e-06,3e-05,'0','STAR','F9'
'2870','54534','531','26','3231478768874842112',165.76531,29.298974,12.95,0.000285,3e-05,'0','STAR','F5'
'2870','54534','533','26','3231479318630656000',165.80342,29.453651,8.01,-0.000159,0.000103,'0','STAR','WD'
'2870','54534','535','26','3231479868386469888',165.91018,29.367096,22.66,-1.9e-05,1.5e-05,'0','STAR','F2'
'2870','54534','536','26','3231480143264376832',165.8217,29.749532,6.39,0.000282,5.1e-05,'0','STAR','F9'
'2870','54534','537','26','3231480418142283776',165.72556,29.162682,48.54,0.000438,1.2e-05,'0','STAR','G2'
'2870','54534','538','26','3231480693020190720',165.77498,29.373693,56.28,-0.000219,1.1e-05,'0','STAR','F2'
'2870','54534','540','26','3231481242776004608',165.91187,29.767492,19.99,-0.00054,1.9e-05,'0','STAR','A0'
'2870','54534','541','26','3231481517653911552',165.8995,28.860557,45.61,-0.000291,1e-05,'0','STAR','G2'
'2870','54534','543','26','3231482067409725440',166.06009,28.536353,28.27,-3.7e-05,1.2e-05,'0','STAR','F9'
'2870','54534','546','26','3231482892043446272',165.92173,28.69244,60.56,-0.000272,9e-06,'0','STAR','F2'
'2870','54534','548','26','3231483441799260160',165.90183,28.65432,46.67,-0.000274,8e-06,'0','STAR','F9'
